tweets,label,case_folding,cleansing,tokenizing,stopword,stemming
"Warga Bandung Raya menyerbu Stadion GBLA Gedebage, Kota Bandung untuk mengikuti vaksinasi massal.  #VaksinasiMassal #BandungRaya #StadionGBLA  https://t.co/7N9wfcg1Yg",1.0,"warga bandung raya menyerbu stadion gbla gedebage, kota bandung untuk mengikuti vaksinasi massal.  #vaksinasimassal #bandungraya #stadiongbla  https://t.co/7n9wfcg1yg",warga bandung raya menyerbu stadion gbla gedebage kota bandung untuk mengikuti vaksinasi massal,"['warga', 'bandung', 'raya', 'menyerbu', 'stadion', 'gbla', 'gedebage', 'kota', 'bandung', 'untuk', 'mengikuti', 'vaksinasi', 'massal']","['warga', 'raya', 'menyerbu', 'stadion', 'gedebage', 'kota', 'mengikuti', 'vaksinasi', 'massal']","['warga', 'raya', 'serbu', 'stadion', 'gedebage', 'kota', 'ikut', 'vaksinasi', 'massal']"
Beredar Video Antrean Panjang Vaksinasi di Bandung https://t.co/UIUVOqBOXH,0.0,beredar video antrean panjang vaksinasi di bandung https://t.co/uiuvoqboxh,beredar video antrean panjang vaksinasi di bandung,"['beredar', 'video', 'antrean', 'panjang', 'vaksinasi', 'di', 'bandung']","['beredar', 'video', 'antrean', 'vaksinasi']","['edar', 'video', 'antre', 'vaksinasi']"
Beredar Video Antrean Panjang Vaksinasi di Bandung https://t.co/di24QrfLPW,0.0,beredar video antrean panjang vaksinasi di bandung https://t.co/di24qrflpw,beredar video antrean panjang vaksinasi di bandung,"['beredar', 'video', 'antrean', 'panjang', 'vaksinasi', 'di', 'bandung']","['beredar', 'video', 'antrean', 'vaksinasi']","['edar', 'video', 'antre', 'vaksinasi']"
"@pandu_ptr Silahkan datang langsung ke Puskesmas, RSUD dan sentra layanan vaksinasi terdekat dengan membawa KTP DKI Jakarta dan mengisi data diri langsung di lokasi vaksinasi. Atau mendaftar dan memilih jadwal vaksinasi terlebih dahulu melalui JAKI atau https://t.co/D8ua2c5vPR.",1.0,"@pandu_ptr silahkan datang langsung ke puskesmas, rsud dan sentra layanan vaksinasi terdekat dengan membawa ktp dki jakarta dan mengisi data diri langsung di lokasi vaksinasi. atau mendaftar dan memilih jadwal vaksinasi terlebih dahulu melalui jaki atau https://t.co/d8ua2c5vpr.",silahkan datang langsung ke puskesmas rsud dan sentra layanan vaksinasi terdekat dengan membawa ktp dki jakarta dan mengisi data diri langsung di lokasi vaksinasi atau mendaftar dan memilih jadwal vaksinasi terlebih dahulu melalui jaki atau,"['silahkan', 'datang', 'langsung', 'ke', 'puskesmas', 'rsud', 'dan', 'sentra', 'layanan', 'vaksinasi', 'terdekat', 'dengan', 'membawa', 'ktp', 'dki', 'jakarta', 'dan', 'mengisi', 'data', 'diri', 'langsung', 'di', 'lokasi', 'vaksinasi', 'atau', 'mendaftar', 'dan', 'memilih', 'jadwal', 'vaksinasi', 'terlebih', 'dahulu', 'melalui', 'jaki', 'atau']","['silahkan', 'rsud', 'sentra', 'layanan', 'vaksinasi', 'terdekat', 'membawa', 'ktp', 'dki', 'jakarta', 'mengisi', 'data', 'lokasi', 'vaksinasi', 'mendaftar', 'memilih', 'jadwal', 'vaksinasi', 'jaki']","['silah', 'rsud', 'sentra', 'layan', 'vaksinasi', 'dekat', 'bawa', 'ktp', 'dki', 'jakarta', 'isi', 'data', 'lokasi', 'vaksinasi', 'daftar', 'pilih', 'jadwal', 'vaksinasi', 'jaki']"
Libatkan sektor jasa keuangan untuk percepat vaksinasi Covid-19. #VaksinDemiKebaikanNegeri https://t.co/eckrybEBt7,1.0,libatkan sektor jasa keuangan untuk percepat vaksinasi covid-19. #vaksindemikebaikannegeri https://t.co/eckrybebt7,libatkan sektor jasa keuangan untuk percepat vaksinasi covid,"['libatkan', 'sektor', 'jasa', 'keuangan', 'untuk', 'percepat', 'vaksinasi', 'covid']","['libatkan', 'sektor', 'jasa', 'keuangan', 'percepat', 'vaksinasi', 'covid']","['libat', 'sektor', 'jasa', 'uang', 'cepat', 'vaksinasi', 'covid']"
Jakarta terus meningkatkan vaksinasi guna menekan penyebaran corona. #kumparanNEWS https://t.co/xdygSz1A9n,1.0,jakarta terus meningkatkan vaksinasi guna menekan penyebaran corona. #kumparannews https://t.co/xdygsz1a9n,jakarta terus meningkatkan vaksinasi guna menekan penyebaran corona,"['jakarta', 'terus', 'meningkatkan', 'vaksinasi', 'guna', 'menekan', 'penyebaran', 'corona']","['jakarta', 'meningkatkan', 'vaksinasi', 'menekan', 'penyebaran', 'corona']","['jakarta', 'tingkat', 'vaksinasi', 'tekan', 'sebar', 'corona']"
@elisa_jkt Pihak kelurahan welcome kok dengan perusahaan di Jakarta. Kantor sy kerja sama dengan kelurahan untuk vaksinasi,1.0,@elisa_jkt pihak kelurahan welcome kok dengan perusahaan di jakarta. kantor sy kerja sama dengan kelurahan untuk vaksinasi,pihak kelurahan welcome kok dengan perusahaan di jakarta kantor sy kerja sama dengan kelurahan untuk vaksinasi,"['pihak', 'kelurahan', 'welcome', 'kok', 'dengan', 'perusahaan', 'di', 'jakarta', 'kantor', 'sy', 'kerja', 'sama', 'dengan', 'kelurahan', 'untuk', 'vaksinasi']","['welcome', 'perusahaan', 'jakarta', 'kantor', 'vaksinasi']","['welcome', 'usaha', 'jakarta', 'kantor', 'vaksinasi']"
"Kapolres Tulungagung AKBP Handono Subiakto, SH, SIK, MH  Bersama Ketua Bhayangkari Cabang Tulungagung Meninjau Pelaksanaan Vaksinasi  Massal Untuk Anggota Polri, PNS Polri, Bhayangkari, Purna Polri dan Warakawuri Bertempat di RS Bhayangkara Tulungagung. https://t.co/nuccMp0YT8",1.0,"kapolres tulungagung akbp handono subiakto, sh, sik, mh  bersama ketua bhayangkari cabang tulungagung meninjau pelaksanaan vaksinasi  massal untuk anggota polri, pns polri, bhayangkari, purna polri dan warakawuri bertempat di rs bhayangkara tulungagung. https://t.co/nuccmp0yt8",kapolres tulungagung akbp handono subiakto sh sik mh bersama ketua bhayangkari cabang tulungagung meninjau pelaksanaan vaksinasi massal untuk anggota polri pns polri bhayangkari purna polri dan warakawuri bertempat di rs bhayangkara tulungagung,"['kapolres', 'tulungagung', 'akbp', 'handono', 'subiakto', 'sh', 'sik', 'mh', 'bersama', 'ketua', 'bhayangkari', 'cabang', 'tulungagung', 'meninjau', 'pelaksanaan', 'vaksinasi', 'massal', 'untuk', 'anggota', 'polri', 'pns', 'polri', 'bhayangkari', 'purna', 'polri', 'dan', 'warakawuri', 'bertempat', 'di', 'rs', 'bhayangkara', 'tulungagung']","['kapolres', 'tulungagung', 'handono', 'subiakto', 'mh', 'ketua', 'cabang', 'tulungagung', 'meninjau', 'pelaksanaan', 'vaksinasi', 'massal', 'anggota', 'pns', 'purna', 'warakawuri', 'bertempat', 'tulungagung']","['kapolres', 'tulungagung', 'handono', 'subiakto', 'mh', 'ketua', 'cabang', 'tulungagung', 'tinjau', 'laksana', 'vaksinasi', 'massal', 'anggota', 'pns', 'purna', 'warakawuri', 'tempat', 'tulungagung']"
@NayDonuts @NgkongRoses @KemenkesRI @PenJelajaH Minta infonya vaksinasi gotong royong itu skemanya bagaimana????,1.0,@naydonuts @ngkongroses @kemenkesri @penjelajah minta infonya vaksinasi gotong royong itu skemanya bagaimana????,minta infonya vaksinasi gotong royong itu skemanya bagaimana,"['minta', 'infonya', 'vaksinasi', 'gotong', 'royong', 'itu', 'skemanya', 'bagaimana']","['infonya', 'vaksinasi', 'gotong', 'royong', 'skemanya']","['info', 'vaksinasi', 'gotong', 'royong', 'skema']"
"@NayDonuts @P3nj3l4j4h_id @Paltiwest @NinjaCir3ng @BL4rrrrr @Penyuka_ombak @anaks1ngkong Saya berharap para pengusaha besar yg melakukan program vaksin gotong  royong, mau juga menyumbangkan vaksinnya kpd warga sekitarnya, bkn hanya kpd karyawannya saja, demi percepatan cakupan vaksinasi nasional. @KemenkesRI",1.0,"@naydonuts @p3nj3l4j4h_id @paltiwest @ninjacir3ng @bl4rrrrr @penyuka_ombak @anaks1ngkong saya berharap para pengusaha besar yg melakukan program vaksin gotong  royong, mau juga menyumbangkan vaksinnya kpd warga sekitarnya, bkn hanya kpd karyawannya saja, demi percepatan cakupan vaksinasi nasional. @kemenkesri",saya berharap para pengusaha besar yg melakukan program vaksin gotong royong mau juga menyumbangkan vaksinnya kpd warga sekitarnya bkn hanya kpd karyawannya saja demi percepatan cakupan vaksinasi nasional,"['saya', 'berharap', 'para', 'pengusaha', 'besar', 'yg', 'melakukan', 'program', 'vaksin', 'gotong', 'royong', 'mau', 'juga', 'menyumbangkan', 'vaksinnya', 'kpd', 'warga', 'sekitarnya', 'bkn', 'hanya', 'kpd', 'karyawannya', 'saja', 'demi', 'percepatan', 'cakupan', 'vaksinasi', 'nasional']","['berharap', 'pengusaha', 'program', 'vaksin', 'gotong', 'royong', 'menyumbangkan', 'vaksinnya', 'warga', 'karyawannya', 'percepatan', 'cakupan', 'vaksinasi', 'nasional']","['harap', 'usaha', 'program', 'vaksin', 'gotong', 'royong', 'sumbang', 'vaksin', 'warga', 'karyawannya', 'cepat', 'cakup', 'vaksinasi', 'nasional']"
Tenda Vaksinasi Massal di Stadion GBLA Ambruk Hujan Hujan Angin https://t.co/CgN1TnMT9v,0.0,tenda vaksinasi massal di stadion gbla ambruk hujan hujan angin https://t.co/cgn1tnmt9v,tenda vaksinasi massal di stadion gbla ambruk hujan hujan angin,"['tenda', 'vaksinasi', 'massal', 'di', 'stadion', 'gbla', 'ambruk', 'hujan', 'hujan', 'angin']","['tenda', 'vaksinasi', 'massal', 'stadion', 'ambruk']","['tenda', 'vaksinasi', 'massal', 'stadion', 'ambruk']"
Minggu 4 di pusat vaksinasi✔️ https://t.co/LMBqjaB0N8,1.0,minggu 4 di pusat vaksinasi✔️ https://t.co/lmbqjab0n8,minggu di pusat vaksinasi,"['minggu', 'di', 'pusat', 'vaksinasi']","['pusat', 'vaksinasi']","['pusat', 'vaksinasi']"
"@ganjarpranowo Kudus kok blm ada kabar vaksinasi buat msyarakat di desa2 pak,,,kapan ya?",0.0,"@ganjarpranowo kudus kok blm ada kabar vaksinasi buat msyarakat di desa2 pak,,,kapan ya?",kudus kok blm ada kabar vaksinasi buat msyarakat di desa pak kapan ya,"['kudus', 'kok', 'blm', 'ada', 'kabar', 'vaksinasi', 'buat', 'msyarakat', 'di', 'desa', 'pak', 'kapan', 'ya']","['kabar', 'vaksinasi', 'msyarakat']","['kabar', 'vaksinasi', 'msyarakat']"
Dinkes Kalteng: Vaksinasi Bentuk Ikhtiar Lawan Covid-19 https://t.co/sbYok27hsw,1.0,dinkes kalteng: vaksinasi bentuk ikhtiar lawan covid-19 https://t.co/sbyok27hsw,dinkes kalteng vaksinasi bentuk ikhtiar lawan covid,"['dinkes', 'kalteng', 'vaksinasi', 'bentuk', 'ikhtiar', 'lawan', 'covid']","['dinkes', 'kalteng', 'vaksinasi', 'bentuk', 'ikhtiar', 'lawan', 'covid']","['dinkes', 'kalteng', 'vaksinasi', 'bentuk', 'ikhtiar', 'lawan', 'covid']"
"Cek Vaksinasi di Bandung, Menkes Pastikan Tambahan 400.000 Dosis per Hari Optimal https://t.co/zi4mBUb1VZ https://t.co/LOCAHl12XX",1.0,"cek vaksinasi di bandung, menkes pastikan tambahan 400.000 dosis per hari optimal https://t.co/zi4mbub1vz https://t.co/locahl12xx",cek vaksinasi di bandung menkes pastikan tambahan dosis per hari optimal,"['cek', 'vaksinasi', 'di', 'bandung', 'menkes', 'pastikan', 'tambahan', 'dosis', 'per', 'hari', 'optimal']","['cek', 'vaksinasi', 'menkes', 'pastikan', 'tambahan', 'dosis', 'optimal']","['cek', 'vaksinasi', 'menkes', 'pasti', 'tambah', 'dosis', 'optimal']"
"Bukannya gamau mas. Sebenernya harusnya saya vaksinasi sinopharm hari ini di PT Saya. Cuma berhubung sakit, gak dianjurin deh huhuhu. Thx infonya mas. https://t.co/KWSuU9eSKR",0.0,"bukannya gamau mas. sebenernya harusnya saya vaksinasi sinopharm hari ini di pt saya. cuma berhubung sakit, gak dianjurin deh huhuhu. thx infonya mas. https://t.co/kwsuu9eskr",bukannya gamau mas sebenernya harusnya saya vaksinasi sinopharm hari ini di pt saya cuma berhubung sakit gak dianjurin deh huhuhu thx infonya mas,"['bukannya', 'gamau', 'mas', 'sebenernya', 'harusnya', 'saya', 'vaksinasi', 'sinopharm', 'hari', 'ini', 'di', 'pt', 'saya', 'cuma', 'berhubung', 'sakit', 'gak', 'dianjurin', 'deh', 'huhuhu', 'thx', 'infonya', 'mas']","['gamau', 'sebenernya', 'vaksinasi', 'sinopharm', 'berhubung', 'sakit', 'gak', 'dianjurin', 'thx', 'infonya']","['gamau', 'sebenernya', 'vaksinasi', 'sinopharm', 'hubung', 'sakit', 'gak', 'dianjurin', 'thx', 'info']"
Warga Kradinan Antusias Ikut Vaksinasi Covid 19 https://t.co/8IdiIEKQKv,1.0,warga kradinan antusias ikut vaksinasi covid 19 https://t.co/8idiiekqkv,warga kradinan antusias ikut vaksinasi covid,"['warga', 'kradinan', 'antusias', 'ikut', 'vaksinasi', 'covid']","['warga', 'kradinan', 'antusias', 'vaksinasi', 'covid']","['warga', 'kradinan', 'antusias', 'vaksinasi', 'covid']"
"- ""Mba setelah vaksinasi tahap 1 kmrn ada yang dirasa ga?"" ""Ga ada sus, pegel biasa aja"".. - ""Ngantuk dan laper ga?"" ... ... ""Hari-hari biasa saya udah ngantuk dan laperan, jadi kaya ga ada beda"". . Gue jawab serius, dia ketawa☺",1.0,"- ""mba setelah vaksinasi tahap 1 kmrn ada yang dirasa ga?"" ""ga ada sus, pegel biasa aja"".. - ""ngantuk dan laper ga?"" ... ... ""hari-hari biasa saya udah ngantuk dan laperan, jadi kaya ga ada beda"". . gue jawab serius, dia ketawa☺",mba setelah vaksinasi tahap kmrn ada yang dirasa ga ga ada sus pegel biasa aja ngantuk dan laper ga hari hari biasa saya udah ngantuk dan laperan jadi kaya ga ada beda gue jawab serius dia ketawa,"['mba', 'setelah', 'vaksinasi', 'tahap', 'kmrn', 'ada', 'yang', 'dirasa', 'ga', 'ga', 'ada', 'sus', 'pegel', 'biasa', 'aja', 'ngantuk', 'dan', 'laper', 'ga', 'hari', 'hari', 'biasa', 'saya', 'udah', 'ngantuk', 'dan', 'laperan', 'jadi', 'kaya', 'ga', 'ada', 'beda', 'gue', 'jawab', 'serius', 'dia', 'ketawa']","['vaksinasi', 'tahap', 'dirasa', 'ga', 'ga', 'sus', 'pegel', 'ngantuk', 'laper', 'ga', 'ngantuk', 'laperan', 'kaya', 'ga', 'beda', 'serius', 'ketawa']","['vaksinasi', 'tahap', 'rasa', 'ga', 'ga', 'sus', 'gel', 'ngantuk', 'laper', 'ga', 'ngantuk', 'laperan', 'kaya', 'ga', 'beda', 'serius', 'ketawa']"
Wagub Tinjau Percepatan Vaksinasi di Kantor Gubernur Kalteng https://t.co/tB5rWaJXuT,1.0,wagub tinjau percepatan vaksinasi di kantor gubernur kalteng https://t.co/tb5rwajxut,wagub tinjau percepatan vaksinasi di kantor gubernur kalteng,"['wagub', 'tinjau', 'percepatan', 'vaksinasi', 'di', 'kantor', 'gubernur', 'kalteng']","['wagub', 'tinjau', 'percepatan', 'vaksinasi', 'kantor', 'kalteng']","['wagub', 'tinjau', 'cepat', 'vaksinasi', 'kantor', 'kalteng']"
"Berita terbaru: Gandeng Dinkes, TP PKK Bitung Prakarsai Percepatan Vaksinasi Covid-19 https://t.co/CJGecos6Ye",1.0,"berita terbaru: gandeng dinkes, tp pkk bitung prakarsai percepatan vaksinasi covid-19 https://t.co/cjgecos6ye",berita terbaru gandeng dinkes tp pkk bitung prakarsai percepatan vaksinasi covid,"['berita', 'terbaru', 'gandeng', 'dinkes', 'tp', 'pkk', 'bitung', 'prakarsai', 'percepatan', 'vaksinasi', 'covid']","['berita', 'terbaru', 'gandeng', 'dinkes', 'pkk', 'bitung', 'prakarsai', 'percepatan', 'vaksinasi', 'covid']","['berita', 'baru', 'gandeng', 'dinkes', 'pkk', 'bitung', 'prakarsa', 'cepat', 'vaksinasi', 'covid']"
Masyarakat mulai memadati kompleks Stadion GBLA sekitar pukul 09.00 WIB.  Selengkapnya klik 👇 #VaksinasiCovid19 https://t.co/Ek9F6IQmIP,0.0,masyarakat mulai memadati kompleks stadion gbla sekitar pukul 09.00 wib.  selengkapnya klik 👇 #vaksinasicovid19 https://t.co/ek9f6iqmip,masyarakat mulai memadati kompleks stadion gbla sekitar pukul wib selengkapnya klik,"['masyarakat', 'mulai', 'memadati', 'kompleks', 'stadion', 'gbla', 'sekitar', 'pukul', 'wib', 'selengkapnya', 'klik']","['masyarakat', 'memadati', 'kompleks', 'stadion', 'wib', 'selengkapnya', 'klik']","['masyarakat', 'padat', 'kompleks', 'stadion', 'wib', 'lengkap', 'klik']"
Bhabinkamtibmas Polsek Barus BRIPKA HENDRA SINAGA Memonitor Vaksinasi di Puskesmas Barus.  #SalamSehat  #Vaksinasi  #StopPenularanCorona #PatuhiProkes  #JanganKendor  #Covid-19MasihAda https://t.co/I8xC4ZbhZU,1.0,bhabinkamtibmas polsek barus bripka hendra sinaga memonitor vaksinasi di puskesmas barus.  #salamsehat  #vaksinasi  #stoppenularancorona #patuhiprokes  #jangankendor  #covid-19masihada https://t.co/i8xc4zbhzu,bhabinkamtibmas polsek barus bripka hendra sinaga memonitor vaksinasi di puskesmas barus,"['bhabinkamtibmas', 'polsek', 'barus', 'bripka', 'hendra', 'sinaga', 'memonitor', 'vaksinasi', 'di', 'puskesmas', 'barus']","['barus', 'hendra', 'sinaga', 'memonitor', 'vaksinasi', 'barus']","['barus', 'hendra', 'sinaga', 'monitor', 'vaksinasi', 'barus']"
Malang  memasuki pekan ketiga pelaksanaan vaksinasi dengan vaksin AstraZeneca. https://t.co/K75wimIGvp,1.0,malang  memasuki pekan ketiga pelaksanaan vaksinasi dengan vaksin astrazeneca. https://t.co/k75wimigvp,malang memasuki pekan ketiga pelaksanaan vaksinasi dengan vaksin astrazeneca,"['malang', 'memasuki', 'pekan', 'ketiga', 'pelaksanaan', 'vaksinasi', 'dengan', 'vaksin', 'astrazeneca']","['malang', 'memasuki', 'pekan', 'ketiga', 'pelaksanaan', 'vaksinasi', 'vaksin', 'astrazeneca']","['malang', 'pasuk', 'pekan', 'tiga', 'laksana', 'vaksinasi', 'vaksin', 'astrazeneca']"
@salsapanji Coba cek ini sal https://t.co/8RQ4SnqLRz,1.0,@salsapanji coba cek ini sal https://t.co/8rq4snqlrz,coba cek ini sal,"['coba', 'cek', 'ini', 'sal']","['coba', 'cek']","['coba', 'cek']"
"Kunjungan ke kantor desa Kedung Waringin, Aiptu Gianto (Bhabinkamtibmas) koordinasikan pelaksanaan giat vaksinasi covid-19 bagi warga yang berusia diatas 50 tahun, Kamis (17/06/2021)  #divhumaspolri #HumasPMJ #humaspolresmetrobekasi https://t.co/ZbWkGeEtMQ",1.0,"kunjungan ke kantor desa kedung waringin, aiptu gianto (bhabinkamtibmas) koordinasikan pelaksanaan giat vaksinasi covid-19 bagi warga yang berusia diatas 50 tahun, kamis (17/06/2021)  #divhumaspolri #humaspmj #humaspolresmetrobekasi https://t.co/zbwkgeetmq",kunjungan ke kantor desa kedung waringin aiptu gianto bhabinkamtibmas koordinasikan pelaksanaan giat vaksinasi covid bagi warga yang berusia diatas tahun kamis,"['kunjungan', 'ke', 'kantor', 'desa', 'kedung', 'waringin', 'aiptu', 'gianto', 'bhabinkamtibmas', 'koordinasikan', 'pelaksanaan', 'giat', 'vaksinasi', 'covid', 'bagi', 'warga', 'yang', 'berusia', 'diatas', 'tahun', 'kamis']","['kunjungan', 'kantor', 'kedung', 'waringin', 'aiptu', 'gianto', 'koordinasikan', 'pelaksanaan', 'giat', 'vaksinasi', 'covid', 'warga', 'berusia', 'diatas']","['kunjung', 'kantor', 'kedung', 'waringin', 'aiptu', 'gianto', 'koordinasi', 'laksana', 'giat', 'vaksinasi', 'covid', 'warga', 'usia', 'atas']"
Presiden Jokowi: Percepat Vaksinasi Di Daerah Interaksi Dan Mobilitas Tinggi https://t.co/YdXd7K8bWH   @jokowi @KemenkesRI https://t.co/laTwVd5EFP,1.0,presiden jokowi: percepat vaksinasi di daerah interaksi dan mobilitas tinggi https://t.co/ydxd7k8bwh   @jokowi @kemenkesri https://t.co/latwvd5efp,presiden jokowi percepat vaksinasi di daerah interaksi dan mobilitas tinggi,"['presiden', 'jokowi', 'percepat', 'vaksinasi', 'di', 'daerah', 'interaksi', 'dan', 'mobilitas', 'tinggi']","['percepat', 'vaksinasi', 'daerah', 'interaksi']","['cepat', 'vaksinasi', 'daerah', 'interaksi']"
"Selain menyapa warga yang bersiap divaksin, Andrei Angouw memantau detail proses vaksinasi.  #PDIPerjuangan  #SolidBergerak",1.0,"selain menyapa warga yang bersiap divaksin, andrei angouw memantau detail proses vaksinasi.  #pdiperjuangan  #solidbergerak",selain menyapa warga yang bersiap divaksin andrei angouw memantau detail proses vaksinasi,"['selain', 'menyapa', 'warga', 'yang', 'bersiap', 'divaksin', 'andrei', 'angouw', 'memantau', 'detail', 'proses', 'vaksinasi']","['menyapa', 'warga', 'divaksin', 'andrei', 'angouw', 'memantau', 'detail', 'proses', 'vaksinasi']","['sapa', 'warga', 'vaksin', 'andrei', 'angouw', 'pantau', 'detail', 'proses', 'vaksinasi']"
"Tinjau Vaksinasi di IT Center, Andrei Angouw: Yang Tidak Mau Ada Sanksinya.  Wali kota dan Wakil Wali kota Manado, Andrei Angouw - Richard Sualang meninjau jalannya vaksinasi hebat Pemkot Manado di IT Center, Rabu (16/6/2021).  #PDIPerjuangan  #SolidBergerak https://t.co/GLMbiOKiCO",1.0,"tinjau vaksinasi di it center, andrei angouw: yang tidak mau ada sanksinya.  wali kota dan wakil wali kota manado, andrei angouw - richard sualang meninjau jalannya vaksinasi hebat pemkot manado di it center, rabu (16/6/2021).  #pdiperjuangan  #solidbergerak https://t.co/glmbiokico",tinjau vaksinasi di it center andrei angouw yang tidak mau ada sanksinya wali kota dan wakil wali kota manado andrei angouw richard sualang meninjau jalannya vaksinasi hebat pemkot manado di it center rabu,"['tinjau', 'vaksinasi', 'di', 'it', 'center', 'andrei', 'angouw', 'yang', 'tidak', 'mau', 'ada', 'sanksinya', 'wali', 'kota', 'dan', 'wakil', 'wali', 'kota', 'manado', 'andrei', 'angouw', 'richard', 'sualang', 'meninjau', 'jalannya', 'vaksinasi', 'hebat', 'pemkot', 'manado', 'di', 'it', 'center', 'rabu']","['tinjau', 'vaksinasi', 'center', 'andrei', 'angouw', 'sanksinya', 'wali', 'kota', 'wakil', 'wali', 'kota', 'manado', 'andrei', 'angouw', 'richard', 'sualang', 'meninjau', 'jalannya', 'vaksinasi', 'hebat', 'pemkot', 'manado', 'center']","['tinjau', 'vaksinasi', 'center', 'andrei', 'angouw', 'sanksi', 'wali', 'kota', 'wakil', 'wali', 'kota', 'manado', 'andrei', 'angouw', 'richard', 'sualang', 'tinjau', 'jalan', 'vaksinasi', 'hebat', 'pemkot', 'manado', 'center']"
@raihanarlan Vaksinasi Bali di atas 50 persen. Bukan tujuan mudik dan kmarin banyak yg mutusin ndak mudik.,1.0,@raihanarlan vaksinasi bali di atas 50 persen. bukan tujuan mudik dan kmarin banyak yg mutusin ndak mudik.,vaksinasi bali di atas persen bukan tujuan mudik dan kmarin banyak yg mutusin ndak mudik,"['vaksinasi', 'bali', 'di', 'atas', 'persen', 'bukan', 'tujuan', 'mudik', 'dan', 'kmarin', 'banyak', 'yg', 'mutusin', 'ndak', 'mudik']","['vaksinasi', 'bali', 'persen', 'tujuan', 'mudik', 'kmarin', 'mutusin', 'ndak', 'mudik']","['vaksinasi', 'bal', 'persen', 'tuju', 'mudik', 'kmarin', 'mutusin', 'ndak', 'mudik']"
"Sertu Sutardi Babinsa Ds.Genengduwur bersama Bhabinkamtibmas Ds.Genengduwur melaksanakan giat pengamanan dan pemantauan Vaksinasi kepada Lansia bertempat di aula balai Ds.Genengduwur, yg dilaksanakan oleh petugas kesehatan dari Puskesmas Gemolong. https://t.co/Dk6lqMH9II",1.0,"sertu sutardi babinsa ds.genengduwur bersama bhabinkamtibmas ds.genengduwur melaksanakan giat pengamanan dan pemantauan vaksinasi kepada lansia bertempat di aula balai ds.genengduwur, yg dilaksanakan oleh petugas kesehatan dari puskesmas gemolong. https://t.co/dk6lqmh9ii",sertu sutardi babinsa ds genengduwur bersama bhabinkamtibmas ds genengduwur melaksanakan giat pengamanan dan pemantauan vaksinasi kepada lansia bertempat di aula balai ds genengduwur yg dilaksanakan oleh petugas kesehatan dari puskesmas gemolong,"['sertu', 'sutardi', 'babinsa', 'ds', 'genengduwur', 'bersama', 'bhabinkamtibmas', 'ds', 'genengduwur', 'melaksanakan', 'giat', 'pengamanan', 'dan', 'pemantauan', 'vaksinasi', 'kepada', 'lansia', 'bertempat', 'di', 'aula', 'balai', 'ds', 'genengduwur', 'yg', 'dilaksanakan', 'oleh', 'petugas', 'kesehatan', 'dari', 'puskesmas', 'gemolong']","['sertu', 'sutardi', 'genengduwur', 'genengduwur', 'melaksanakan', 'giat', 'pengamanan', 'pemantauan', 'vaksinasi', 'lansia', 'bertempat', 'aula', 'balai', 'genengduwur', 'dilaksanakan', 'petugas', 'kesehatan', 'gemolong']","['sertu', 'sutardi', 'genengduwur', 'genengduwur', 'laksana', 'giat', 'aman', 'pantau', 'vaksinasi', 'lansia', 'tempat', 'aula', 'balai', 'genengduwur', 'laksana', 'tugas', 'sehat', 'golong']"
Ada 2.577 orang yang menjadi sasaran vaksin di 23 puskesmas tersebut. https://t.co/dm8qKtDBEO,1.0,ada 2.577 orang yang menjadi sasaran vaksin di 23 puskesmas tersebut. https://t.co/dm8qktdbeo,ada orang yang menjadi sasaran vaksin di puskesmas tersebut,"['ada', 'orang', 'yang', 'menjadi', 'sasaran', 'vaksin', 'di', 'puskesmas', 'tersebut']","['sasaran', 'vaksin']","['sasar', 'vaksin']"
Kapolda DIY Irjen Pol Drs Asep Suhendar meninjau langsung pelaksanaan vaksinasi Covid-19 di Pendopo Agung Royal Ambarukmo Yogyakarta. https://t.co/SyMbxC8IDe,1.0,kapolda diy irjen pol drs asep suhendar meninjau langsung pelaksanaan vaksinasi covid-19 di pendopo agung royal ambarukmo yogyakarta. https://t.co/symbxc8ide,kapolda diy irjen pol drs asep suhendar meninjau langsung pelaksanaan vaksinasi covid di pendopo agung royal ambarukmo yogyakarta,"['kapolda', 'diy', 'irjen', 'pol', 'drs', 'asep', 'suhendar', 'meninjau', 'langsung', 'pelaksanaan', 'vaksinasi', 'covid', 'di', 'pendopo', 'agung', 'royal', 'ambarukmo', 'yogyakarta']","['diy', 'irjen', 'asep', 'suhendar', 'meninjau', 'pelaksanaan', 'vaksinasi', 'covid', 'pendopo', 'royal', 'ambarukmo', 'yogyakarta']","['diy', 'irjen', 'asep', 'suhendar', 'tinjau', 'laksana', 'vaksinasi', 'covid', 'pendopo', 'royal', 'ambarukmo', 'yogyakarta']"
